id,username,email,firstname,lastname,idnumber,institution,department,phone1,phone2,city,url,icq,skype,aim,yahoo,msn,country
3,alejandro,alejandromover92+vplstudentalejandro@gmail.com,alejandro,student,,,,,,,,,,,,,
4,camilo,alejandromover92+vplstudentcamilo@gmail.com,camilo,student,,,,,,,,,,,,,
19,elmo,alejandromover92@gmail.com,"Eliecer Alejandro","Molina Vergel",,,,,,Envigado,,,,,,,CO
17,student08,alejandromover92+vplstudent8@gmail.com,student,eight,,,,,,,,,,,,,
14,student05,alejandromover92+vplstudent5@gmail.com,student,five,,,,,,,,,,,,,
13,student04,alejandromover92+vplstudent4@gmail.com,student,four,,,,,,,,,,,,,
18,student09,alejandromover92+vplstudent9@gmail.com,student,nine,,,,,,,,,,,,,
10,student01,alejandromover92+vplstudent1@gmail.com,student,one,,,,,,,,,,,,,
16,student07,alejandromover92+vplstudent7@gmail.com,student,seven,,,,,,,,,,,,,
15,student06,alejandromover92+vplstudent6@gmail.com,student,six,,,,,,,,,,,,,
12,student03,alejandromover92+vplstudent3@gmail.com,student,three,,,,,,,,,,,,,
11,student02,alejandromover92+vplstudent2@gmail.com,student,two,,,,,,,,,,,,,
